호선,지하철역,위도,경도
1호선,동대문,37.571687,127.01093
1호선,동묘앞,37.573197,127.01648
1호선,서울역,37.556228,126.972135
1호선,시청,37.565715,126.977088
1호선,신설동,37.576048,127.024634
1호선,제기동,37.578103,127.034893
1호선,종각,37.570161,126.982923
1호선,종로3가,37.570406,126.991847
1호선,종로5가,37.570926,127.001849
1호선,청량리(서울시립대입구),37.579956,127.044585
2호선,강남,37.49799,127.027912
2호선,강변(동서울터미널),37.535095,127.094681
2호선,건대입구,37.540373,127.069191
2호선,교대(법원.검찰청),37.493961,127.014667
2호선,구로디지털단지,37.485266,126.901401
2호선,구의(광진구청),37.537077,127.085916
2호선,낙성대,37.47693,126.963693
2호선,당산,37.534946,126.902767
2호선,대림(구로구청),37.493243,126.894932
2호선,도림천,37.514287,126.882768
2호선,동대문역사문화공원,37.565613,127.009054
2호선,뚝섬,37.547184,127.047367
2호선,문래,37.517933,126.89476
2호선,방배,37.481426,126.997596
2호선,봉천,37.482362,126.941892
2호선,사당,37.476538,126.981544
2호선,삼성(무역센터),37.508844,127.06316
2호선,상왕십리,37.564354,127.029354
2호선,서울대입구(관악구청),37.481247,126.952739
2호선,서초,37.491897,127.007917
2호선,선릉,37.504286,127.048203
2호선,성수,37.544581,127.055961
2호선,시청,37.563588,126.975411
2호선,신답,37.57004,127.046481
2호선,신당,37.56564,127.019614
2호선,신대방,37.487462,126.913149
2호선,신도림,37.508961,126.891084
2호선,신림,37.484201,126.929715
2호선,신설동,37.574747,127.024932
2호선,신정네거리,37.520074,126.852912
2호선,신촌,37.555131,126.936926
2호선,아현,37.557345,126.956141
2호선,양천구청,37.512398,126.865819
2호선,역삼,37.500622,127.036456
2호선,영등포구청,37.525706,126.89661
2호선,왕십리(성동구청),37.561238,127.036954
2호선,용답,37.561904,127.050899
2호선,용두(동대문구청),37.574028,127.038091
2호선,을지로3가,37.566306,126.991696
2호선,을지로4가,37.566595,126.997817
2호선,을지로입구,37.566014,126.982618
2호선,이대,37.556733,126.946013
2호선,잠실(송파구청),37.513262,127.100159
2호선,잠실나루,37.520733,127.10379
2호선,잠실새내,37.511687,127.086162
2호선,종합운동장,37.511022,127.073704
2호선,충정로(경기대입구),37.559704,126.964378
2호선,한양대,37.555273,127.043655
2호선,합정,37.549457,126.913808
2호선,홍대입구,37.55679,126.923708
3호선,가락시장,37.492245,127.117757
